kod;leiras;nev;kinek;mitcsinal;munkakor;ismeretek;gyakorlat;videok;interju;n
0;Leirás;Név;Kinek ajánljuk a képzést?;Mit csinál egy ilyen szakember/technikus?;Milyen munkakörben tudsz elhelyezkedni a képzés befejezését követően?;Milyen tudást (ismeretet és gyakorlatot) szerezhetsz a képzés során?;Hol lehetek gyakorlaton?;;;1
T1;Ágazat: Elektronika és elektrotechnika / Technikum;Automatikai technikus;Akit érdekelnek a műszaki eszközök, a szerelés, és kíváncsi hogy mitől működnek a korszerű berendezések, jó irányban keresgél itt. Fontos a logikai képesség, a színlátás, a kézügyesség.;Kiépíti, beüzemeli, karbantartja az automatizált gépeket, berendezéseket. A meghibásodott berendezést javítja, ehhez logikus gondolkodás, műszerek, számítógép használata, jó szerelési képesség szükséges. Munkájuk során gyakran kerülnek kapcsolatba ipari robotokkal, kimagaslóan korszerű technológiai környezetben dolgoznak.;Automatizált rendszereket kiépítő és üzemeltető cégek technikusa. Nagy cégek kiemelten keresett munkatársa, a munkaerő-piac egyik legkeresettebb szakembere.;Magas szintű elektronika, matematika, programozási ismeretek, vezérléstechnika, hibadiagnosztika, hibaelhárítás. Kiváló esélyek a villamosmérnöki, automatizálási mérnőki továbbtanuláshoz.;A szakmai gyakorlati képzés az iskola jól felszerelt tanműhelyeiben történik.;https://youtu.be/wUFBb0JWGVQ;;1
T2;Ágazat: Elektronika és elektrotechnika / Technikum;Ipari informatikai technikus;A képzést annak ajánljuk, akit érdekelnek a műszaki eszközök, a szerelés, valamit az, hogy mitől működnek a korszerű, önműködő berendezések. Fontos a matematika, a logikai képesség, színlátás, kézügyesség, és a problémamegoldó képesség.;Az ipari informatikus robottechnikai rendszerekben, automatikus működésű gyártórendszereken dolgozik, gyakran a villamosmérnökkel, vagy szakirányban képzett informatikussal együtt. Számítógépes programozást, hibadiagnosztikát, hibaelhárítást végez.;- számítógépes adagyűjtő, programfejlesztő, rendszergazda, automatizált rendszerek üzemeltetője, karbantartója. Egy személyben elektronikai és számítógépes szakember. A munkaerő-piac egyik legkeresettebb munkatársa.;Magas szintű elektronika, matematika, programozási ismeretek, vezérléstechnika, hibadiagnosztika, hibaelhárítás. Kiváló esélyek az informatikai mérnöki, informatiikusi egyetemi tanulmányokhoz.;A szakmai gyakorlati képzés az iskola jól felszerelt tanműhelyeiben történik.;;Az ipari informatikai technikus átfogó műszaki ismeretekkel bír. Munkáját Ipar 4.0 környezetben végzi (robotika, egymással együttműködő, magas szinten automatizált termelő és irányító rendszerek). Informatikai szakember, akinek feladata a termelés háttértámogatásának biztosítása hardver- és szoftveroldalon egyaránt. Ide tartozik a vezetékes és vezeték nélküli összeköttetések kialakításának megtervezése, koordinálása és fenntartása, alapvető távközlési és hálózati rendszerek üzemeltetése. Ipari környezetben rendszergazdai feladatköröket is elláthat.;1
T3;Ágazat: Gépészet / Technikum;Gépgyártástechnológiai technikus;A képzést azoknak ajánljuk, akiket érdekelnek a műszaki eszközök, a gyártás és szereléstechnika, valamint a korszerű, ipari gyártóberendezések. Fontos a logikai képesség, érdeklődés a számítógépek és a programozás iránt, kézügyesség, problémamegoldó képesség.;A gépgyártás-technológiai technikus: - számítógép segítségével megtervezi a gépészeti termékek gyártását, - alkatrészeket gyárt CNC szerszámgépeken, vagy robotizált megmunkáló cellákon, - az egyszerűbb alkatrészek gyártásához CNC programot ír, CNC gépet kezel, - CNC mérőberendezést kezel;A gépgyártás-technológiai technmikus a gazdasági élet bármelyik szereplőjénél dolgozhat, termékgyártás, vagy gyártáselőkészítés munkakörben. Munkája fontos összekötő kapocs a gépészmérnök és a termelés között. Munkájukat CNC vezérlésű megmunkálógépek kezelőiként is végezhetik, korszerű technológiai környezetben.;Magas szintű műszaki rajzkészítés és értelmezés, geometriai mérések és anyagvizsgálatok, CNC gépek kezelése, CAD/CAM ismeretek, karbantartás, hibaelhárítás,;A szakmai gyakorlati képzés az iskola jól felszerelt tanműhelyeiben történik.;;Ismerősök és a családom is ajánlotta a Kandót, mert jókat hallottak az itt folyó oktatásról. Az általam választott szakmát – gépgyártás-technológiai technikus - a környékben máshol nem ilyen színvonalon oktatják. A szakmát azért választottam, mert érdekelnek a műszaki eszközök, gépek és a családomban is van olyan, aki hasonló szakmában, munkakörben dolgozik. A Kandóban nagyon jól érzem magam, mert jó az osztályközösség, az iskolai közösség és az iskolai programok, például a Kandós-est, Diáknap. A tanárok is rugalmasak, megértőek, tudják hol a határ a tanítás-tanulás és a viccelődés között. A technikum után szeretnék továbbtanulni, műszaki szakirányon. Ezután szeretnék elhelyezkedni a szakmában, karriert építeni és sikeres, elismert szakemberré válni. Még egy fontos megjegyzés, a Kandóban sok szakma közül választhatsz, de hidd el bármelyiket is választod, az remek döntés! Az itt megszerzett tudással megalapozod a jövődet! (Lelovics László, 5/13/G, gépgyártás-technológiai technikus tanuló);1
T4;Ágazat: Specializált gép- és járműgyártás / Technikum;Mechatronikai technikus;A képzést annak ajánljuk, akit érdekelnek a műszaki eszközök, a szerelés, valamint az, hogy mitől működnek a korszerű, önműködő berendezések. Fontos a matematika, a logikai képesség, színlátás, kézügyesség, problémamegoldó képesség és érdeklődés a számítógépek és a programozás iránt.;A mechatronikai technikus: - közreműködik mechatronikai rendszerek felépítésében, telepítésében, - termelőrendszerek karbantartása során alkatrészeket gyárt, melyhez hagyományos és CNC gépeket használ, - méréseket, ellenőrzéseket, műszeres hibameghatározást, beállítást és hibajavítást végez, - a technológioai folyamatok ismeretével robotocellákat felügyel, üzemeltet és a hibákat elhárítja, - vezérléseket készít, javít, üzemeltet, karbantart.;Elsősorban a nagyvállalatok keresett, sokoldalúan képzett szakembere. A mechatronikai technikus termelőrendszerek felügyeletét, javítását, karbantartását, gépek beáálítását végzi.;- Mechatronikia rendzserek, technológiai folyamatok felépítése, működése, vezérléstechnikája, - magas automatizáltságú termelőberendezések hibafeltárása, hibajavítás, - vezérlések készítése, programozástechnika, pogramhibák feltárása, javítása, Az itt vég;A szakmai gyakorlati képzés az iskola jól felszerelt tanműhelyeiben történik.;https://youtu.be/Lt0p7dWMZkc https://youtu.be/lKO7OETUhBE https://youtu.be/h3tnke5u7MM https://youtu.be/6eZhlPB_hUk;;1
T5;Ágazat: Informatika és távközlés / Technikum;Szoftverfejlesztő és -tesztelő;Ha kíváncsiak arra hogyan készülnek a játékprogramok, milyen elvek mentén írják a modern, mindennapi életben is használt alkalmazásokat, akik szívesen foglalkoznának új technológiák kipróbálásával. Ha van benned gondolkozásra való készség, kis kreativitás, egyéni fantázia, problémamegoldó képesség, no meg kitartás, akkor kiváló programozó válhat belőled!;A szoftverfejlesztés együttműködésre épül. A fejlesztőnek kommunikálnia kell a megrendelővel, a csapattársaival. A munka során pontosan meg kell tudniuk fogalmazni a problémát, az egész rendszer működését előre ki kell gondolniuk, meg kell tervezni a munkafolyamatot, és át kell fogalmazni azt az adott program nyelvére. Egy programozónak egyszerre több nyelvet is beszélnie, értenie kell, pl. Python, Java, mellette használatosak még az SQL, a scriptnyelvek (PHP, JavaScript), illetve a leíró nyelvek (HTML, CSS) is.;Szoftverfejlesztő és alkalmazásprogramozó stúdiókban: programozóként, fejlesztőként, karbantartóként, szoftver és rendszertesztelőként, adatbázis fejlesztőként, szoftvertelepítőként. Önálló vállalkozást is kezdhetsz, vagy tanulmányaid folytathatod a felsőoktatásban.;Programozási alapismereteket, matematikai elveket, algoritmusok készítését és felhasználását, adatbáziskezelési gyakorlatot, fejlesztői keretrendszerek felhasználását, programozói szemléletmódot (UML, OOP, tervezési minták), ismertebb nyelveket (Python, Java, PHP, JavaScript), leíró és lekérdező nyelveket (HTML, CSS, Bootstrap), SQL adatok tárolását és lekérdezését, grafikai programok ismeretét;A szakmai gyakorlati képzés az iskola jól felszerelt tanműhelyeiben történik.;https://youtu.be/Jo-H7H-Ow7U https://youtu.be/nrjI-6LrybQ https://youtu.be/DMFw7QkDV2Q https://youtu.be/g_9_rqqi5x8;;1
T6;Ágazat: Gépészet / Technikum;Gépésztechnikus;A képzést azoknak ajánljuk, akiket érdekelnek a műszaki eszközök, a gyártás és szereléstechnika, valamint a korszerű, ipari gyártóberendezések üzemeltetése. A jelentkező részéről fontos a logikai képesség, kézügyesség, problémamegoldó képesség, valamint érdeklődés a számítógépek és a programozás iránt.;A gépésztechnikus mérnöki végzettséget nem igénylő szinten vesz részt a gépelemek gyártásában, tervezésében. Elvégzi a CNC forgácsolással gyártható termékek gyártási folyamatának előkészítését, valamint biztosítja a korszerű forgácsológépek működőképességét. A berendezések meghibásodásakor elvégzi a hiba diagnosztizálását és javítását, szerelését, valamint az ütemezett karbantartásokat is.;A betölthető munkakörök: gyártáselőkészítő, szerszámgépek üzemszerű működéséért felelős technikus, gépész karbantartó.;Magas szintű műszaki rajzkészítés és értelmezés, nagypontosságú geometriai mérések és anyagvizsgálatok, CNC gépek kezelése, CAD/CAM ismeretek, üzemeltetés, tervszerű karbantartás, diagnosztika, hibaelhárítás.;A szakmai gyakorlati képzés az iskola jól felszerelt tanműhelyeiben történik.;;A gépész technikus a modern szerszámgépek üzemeltetője és karbantartója. Munkája a termelő üzemekben rendkívül fontos, mert nélküle a gépi forgácsoló berendezések, CNC gépek folyamatos üzemvitele, és tervszerű karbantartása nem biztosított. Munkaköri feladata a gyártáselőkészítésért felelős gépgyártás-technológiai technikussal szorosan kapcsolódik, a gépipar fontos láncszemét jelentik. Tanulmányai során a gépész technikus CAD/CAM és Ipar szakirányban egyaránt szakosodhat.;1
T7-1;Képzőművészet tanulmányi terület / Szakgimnázium;Mozgókép- és animációtervező;1. Ha a mozgókép megszállottja vagy és szívesen rajzolsz, animációkat készítesz, van benned kreativitás és szeretnéd mozgóképi alkotás készítésének lehetőségeit alaposan megismerni, jelentkezz!;Az alapozó művészeti képzést követően az animációs és videófilm alapjai és technikái, mellett a számítógéppel létrehozható mozgóképi munkák készítése során a szakmára jellemző csoportmunkára is különösen nagy hangsúlyt fektetünk.;A középszintű szakmai ismeretek önálló alkalmazása, szoftveres ismeretek, gyakorlat a csoportmunkában. / szakelméleti ismeretek,világítás, fényképezés, stop motion technikák: báb, homok, festmény stb. animáció, karakter-tervezés, háttár festés rajzolás, rajzolt animáció, utómunka, vágás, grafikai programok/;Továbbtanulás a művészeti egyetemek - Moholy-Nagy Művészeti Egyetem, Magyar Képzőművészeti Egyetem – mozgókép vagy más szakjain. Továbbtanulás nélkül a mozgóképi szakterületeken – reklámstúdió, Tv, - vagy a megszerzett ismeretek birtokában más művészeti területek irányába is tovább tudnak lépni.;A szakmai gyakorlati képzés az iskola jól felszerelt tanműhelyeiben történik.;https://youtu.be/mw4xNPjCvKA https://youtu.be/BWMjo2ydkYA https://youtu.be/bOyNns3WdEc;;1
T7-3;Képzőművészet tanulmányi terület / Szakgimnázium;Művészeti grafikus;Ha szívesen fejezed ki rajzban a gondolataidat, kreatív vagy és csak ezzel szeretnél foglalkozni fejlődj tovább nálunk!;A tanulók megismerik a manuális és digitális grafikai sokszorosító technikákat. Logo,arculat,plakát, illusztráció, kiadvány, egyedi alkotás készítése során a kreatív és az absztrakt gondolkodás fejlesztése és a projektmunka is nagy teret kap. A grafikus munkát érintő szoftver- és hardverismeret középfokú ismeretek. / Photoshop, In Design, Illusztrator/;Középfokú mesterségbeli tudás, jártasság a grafikai technikákban a szakmai munka önálló létrehozásában. Képes a csoportmunkára és a kreatív tervezésre. Felkészült a továbbtanulásra az alkalmazott grafikai és az autonóm művészi területeken egyaránt.;Továbbtanulás a művészeti egyetemeken tervezőgrafikus, illusztrátor, tipográfia, vwebdesign, médiaismeret szakokon. Aki nem tanul tovább az grafikai stúdiókban, ügynökségeknél, illetve más művészeti vagy kreativitást igénylő területen tud elhelyezkedni.;;https://youtu.be/Fee1EWK8CHA https://youtu.be/zWBYwmDqq2I https://youtu.be/zm3L_b2R3qg;;1
T7-4;Képzőművészet tanulmányi terület / Szakgimnázium;Kerámiaműves;Ha gyakran belefeledkezel a tárgyak vagy szobrok készítésébe és találékonyan, sokrétűen foglalkoznál ezzel, jelentkezz!;A tanulók megismerik a kerámiai anyagokat és technikákat. Elsajátítják a kreatív tervezés - modellezés - kivitelezés folyamatát. Felkészítjük őket saját elképzeléseik megvalósítására, digitális prezentációjára és kiállítására./Egyedi tárgyakat, plasztikákat készít dekorál, éget, sokszorosító (porcelán-öntés, préselés stb.) technikákat alkalmazva használati tárgyakat, építészeti kerámiát készít, csoportmunkában közös projekteket valósít meg/.;3. Középfokú mesterségbeli tudás, jártasság a kerámia technikákban a szakmai munka önálló létrehozásában. Képes a csoportmunkára és ismeri a design szemléletű tervezés alapjait /gipszes szakismeret - gipszminta és formakészítés, kerámiai gépek ismerete, kerámia égetési tapasztalat/.;Továbbtanulás a művészeti egyetemek / MOME, PTE MK, Soproni Egyetem Alkalmazott Művészeti Intézet/ kerámia, szobrászat, tárgyalkotó, formatervező, építész és belsőépítész szakjain. Akik nem tanulnak tovább azok más művészeti vagy kreativitást igénylő területen tudnak elhelyezkedni.;;https://youtu.be/cDkOqmlLNJ8 https://youtu.be/b4rleKP4aJU https://youtu.be/v02BQN6mdcw;;1
